Name,overall,Action,Adventure,Sci-Fi,Drama,Comedy,Romance,Musical,War,Horror,History,Mystery,Thriller,Crime,Sport,Biography,Fantasy,Family,Documentary,Music,Animation,News,Western,average,Votes
36 China Town,5.7,0,0,0,0,5.7,0,0,0,0,0,5.7,5.7,0,0,0,0,0,0,0,0,0,0,5.7,4373
36 Chowringhee Lane,7.5,0,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,392
376 D,5.7,0,0,0,0,0,0,0,0,0,0,0,5.7,5.7,0,0,0,0,0,0,0,0,0,5.7,252
377 AbNormal,5.6,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,93
3D Saamri,5.6,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,80
3G: A Killer Connection,3.6,0,0,3.6,0,0,0,0,0,3.6,0,0,3.6,0,0,0,0,0,0,0,0,0,0,3.6,1128
3rd EYE,6.3,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,6
404: Error Not Found,7.3,0,0,0,7.3,0,0,0,0,0,0,7.3,7.3,0,0,0,0,0,0,0,0,0,0,7.3,2548
417 Miles,4.8,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,9
498A-The Wedding Gift,7.8,0,0,0,7.8,0,0,7.8,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,7.8,21
5 Ghantey Mien 5 Crore,5.7,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,5.7,75
5 Rifles,6.5,6.5,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,36
5ters: Castle of Dark Master,4.6,4.6,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,4.6,19
