Name,Year,Duration,Genre,Rating,Director,Actor1,Actor2,Actor3
Dil Hai Ki Manta Nahin,1991,154,"Adventure, Comedy, Drama",7.3,Mahesh Bhatt,Aamir Khan,Pooja Bhatt,Anupam Kher
Dil Hai Tumhaara,2002,185,"Drama, Romance",5.3,Kundan Shah,Arjun Rampal,Preity Zinta,Mahima Chaudhry
Dil Hi To Hai,1963,128,"Comedy, Drama, Romance",7.1,C.L. Rawal,P.L. Santoshi,Raj Kapoor,Nutan
Dil Hi To Hai,1992,164,"Drama, Romance",5.1,Asrani,Divya Bharti,Gulshan Grover,Amjad Khan
Dil Jo Bhi Kahey...,2005,144,"Drama, Romance",4.6,Romesh Sharma,Amitabh Bachchan,Revathi,Karan Sharma
Dil Jo Na Keh Saka,2017,130,Romance,5.3,Naresh Lalwani,Himansh Kohli,Priya Banerjee,Bhuvnesh Mann
Dil Juunglee,2018,124,"Comedy, Romance",3.7,Aleya Sen,Taapsee Pannu,Saqib Saleem,Nidhi Singh
Dil Ka Kya Kasoor,1992,157,"Musical, Romance",5.7,Lawrence D'Souza,Prithvi,Divya Bharti,Sanam
Dil Ka Rishta,2003,150,"Drama, Musical, Romance",4.8,Naresh Malhotra,Arjun Rampal,Aishwarya Rai Bachchan,Priyanshu Chatterjee
Dil Ka Sauda,2014,136,"Action, Crime, Drama",5.3,Lalji B. Yadav,Dilip Tadeshwar,Rakhi Sawant,Donny Kapoor
Dil Kabaddi,2008,120,"Comedy, Drama",5.7,Anil Senior,Irrfan Khan,Rahul Bose,Rahul Khanna
Dil Ke Pechey Pechey',2005,110,"Drama, Thriller",4.9,Gopal Malhotra,Ashutosh Rana,Divya Dutta,Abbas
Dil Ki Baazi,1993,162,"Action, Drama",5.3,Anil Ganguly,Rakhee Gulzar,Avinash Wadhawan,Akshay Kumar
Dil Kya Kare,1999,158,"Drama, Musical, Romance",5.1,Prakash Jha,Ajay Devgn,Mahima Chaudhry,Kajol
Dil Maange More!!!,2004,123,"Musical, Romance",5.2,Ananth Narayan Mahadevan,Shahid Kapoor,Ayesha Takia,Tulip Joshi
Dil Ne Jise Apna Kaha,2004,135,"Drama, Romance",4.4,Atul Agnihotri,Salman Khan,Preity Zinta,Bhoomika Chawla
Dil Ne Pukara,1967,173,"Drama, Romance",7,Mohan J. Bijlani,Shashi Kapoor,Sanjay Khan,Rajshree
Dil Pardesi Ho Gayaa,2003,150,"Romance, Drama",4.8,Saawan Kumar Tak,Kapil Jhaveri,Saloni Aswani,Amrish Puri
Dil Pe Mat Le Yaar!!,2000,148,Drama,5,Hansal Mehta,Manoj Bajpayee,Tabu,Saurabh Shukla
Dil Sala Sanki,2016,110,Romance,5,Sushikailash,Shagufta Ali,Hrishitaa Bhatt,Avtar Gill
Dil Se..,1998,163,"Drama, Romance",7.6,Mani Ratnam,Shah Rukh Khan,Manisha Koirala,Preity Zinta
Dil Tera Aashiq,1993,151,"Comedy, Drama, Romance",5.1,Lawrence D'Souza,Madhuri Dixit,Salman Khan,Kader Khan
Dil Tera Diwana,1962,150,"Comedy, Romance",7,B. Ramakrishnaiah Panthulu,Shammi Kapoor,Mala Sinha,Mehmood
Dil Tera Diwana,1996,139,"Drama, Mystery",5,Lawrence D'Souza,Saif Ali Khan,Twinkle Khanna,Shatrughan Sinha
Dil to Pagal Hai,1997,180,"Comedy, Drama, Musical",7,Yash Chopra,Shah Rukh Khan,Madhuri Dixit,Karisma Kapoor
Dil Toh Baccha Hai Ji,2011,143,"Comedy, Drama, Romance",5.8,Madhur Bhandarkar,Ajay Devgn,Emraan Hashmi,Omi Vaidya
Dil Toh Deewana Hai,2016,135,"Drama, Romance",6.5,Raja Bundela,Zeenat Aman,Raj Babbar,Meenu Bhardwaj
Dil Tujhko Diya,1987,127,Romance,5,Rakesh Kumar,Kumar Gaurav,Rati Agnihotri,Mala Sinha
Dil Vil Pyar Vyar,2002,150,"Drama, Musical, Romance",5.3,Ananth Narayan Mahadevan,Madhavan,Jimmy Sheirgill,Sanjay Suri
Dil... Akhir Dil Hai,1982,216,Drama,5.5,Esmayeel Shroff,Rakhee Gulzar,Parveen Babi,Naseeruddin Shah
Dilbar,1994,138,"Drama, Romance",3.8,B. Krishna Rao,Mamta Kulkarni,Rishikesh Raj,Nawaz Khan
Dildaar,1977,165,"Action, Comedy, Drama",4.5,K. Bapaiah,Jeetendra,Rekha,Sujit Kumar
Dil-E-Nadan,1953,142,Romance,6.7,Abdul Rashid Kardar,Talat Mahmood,Shyama,Shyam Kumar
Diljalaa,1987,140,"Action, Drama",5.1,Bapu,Jackie Shroff,Farha Naaz,Tanuja
Diljale,1996,159,"Action, Drama, Romance",5.8,Harry Baweja,Ajay Devgn,Sonali Bendre,Amrish Puri
Dil-Ki-Rani (Sweet-Heart),1947,130,"Comedy, Romance",7.4,Mohan Sinha,Raj Kapoor,Madhubala,Shyam Sunder
Dillagi,1999,188,"Drama, Musical, Romance",5.3,Sunny Deol,Sunny Deol,Bobby Deol,Urmila Matondkar
Dillagi,1966,146,"Comedy, Drama, Romance",6.3,S.N. Banerjee,Mala Sinha,Sanjay Khan,Nazima
Dilliwaali Zaalim Girlfriend,2015,121,"Comedy, Drama",3.7,Japinder Kaur Baweja,Ira Dubey,Natalia Kapchuk,Vijay Meenu
Dilruba,1950,123,"Crime, Drama, Mystery",7.1,Dwarka Khosla,Rehana,Dev Anand,Cuckoo
Dilwaala,1986,160,"Action, Comedy, Drama",3.7,K. Muralimohana Rao,Mithun Chakraborty,Smita Patil,Meenakshi Sheshadri
Dilwale,1994,172,"Action, Drama, Romance",5.7,Harry Baweja,Ajay Devgn,Sunil Shetty,Raveena Tandon
Dilwale,2015,158,"Action, Comedy, Drama",5.1,Rohit Shetty,Shah Rukh Khan,Kajol,Varun Dhawan
Dilwale Dulhania Le Jayenge,1995,181,"Drama, Romance",8.1,Aditya Chopra,Shah Rukh Khan,Kajol,Amrish Puri
Dilwale Dulhaniya Le Jayenge,1980,120,Romance,7.2,Rajendra Singh 'Atish',Beena Banerjee,Desh Gautam,Tariq Shah
Direct Ishq,2016,130,"Action, Comedy, Romance",4,Rajiv S. Ruia,Rajniesh Duggall,Nidhi Subbaiah,Arjun Bijlani
Dirty Politics,2015,130,Drama,2.5,K.C. Bokadia,Anupam Kher,Atul Kulkarni,Awdhesh Mishra
Disco Dancer,1982,135,"Drama, Musical, Romance",6.4,Babbar Subhash,Mithun Chakraborty,Kim,Kalpana Iyer
Disha,1990,135,"Comedy, Drama, Musical",7,Sai Paranjape,Shabana Azmi,Nana Patekar,Raghuvir Yadav
Dishkiyaoon,2014,119,"Action, Thriller",5.2,Sanamjit Singh Talwar,Harman Baweja,Harsh Chhaya,Sunny Deol
Dishoom,2016,124,"Action, Adventure, Comedy",5.1,Rohit Dhawan,John Abraham,Varun Dhawan,Jacqueline Fernandez
Divorce,1984,133,"Romance, Drama",5.7,N.D. Kothari,Sharmila Tagore,Girish Karnad,Vijayendra Ghatge
Divya Shakti,1993,180,"Action, Drama",3.8,Sameer Malkan,Ajay Devgn,Raveena Tandon,Satyendra Kapoor
Diwana,1967,171,"Drama, Romance",6.9,Mahesh Kaul,Raj Kapoor,Saira Banu,Lalita Pawar
Do Anjaane,1976,155,Drama,6.9,Dulal Guha,Amitabh Bachchan,Rekha,Prem Chopra
Do Ankhen Barah Haath,1957,143,"Comedy, Crime, Drama",8.4,Shantaram Rajaram Vankudre,Shantaram Rajaram Vankudre,Sandhya,Ulhas
Do Aur Do Paanch,1980,132,"Action, Comedy, Drama",7,Rakesh Kumar,Shashi Kapoor,Amitabh Bachchan,Hema Malini
Do Bhai,1969,150,"Action, Crime, Drama",6.2,Brij,Ashok Kumar,Mala Sinha,Jeetendra
Do Bigha Zamin,1953,131,Drama,8.4,Bimal Roy,Balraj Sahni,Nirupa Roy,Ratan Kumar
Do Boond Pani,1971,141,"Action, Drama",6.3,Khwaja Ahmad Abbas,Jalal Agha,Simi Garewal,Kiran Kumar
Do Chehre,2015,120,Action,5.3,Ashok Gaekwad,Krishna Abhishek,Mohnish Bahl,Negar Khan
Do Dishayen,1982,149,"Drama, Romance",6,Dulal Guha,Dharmendra,Shreeram Lagoo,Nirupa Roy
Do Dooni Chaar,2010,112,"Comedy, Drama",7.5,Habib Faisal,Rishi Kapoor,Neetu Singh,Aditi Vasudev
Do Dooni Char,1968,135,"Comedy, Drama",7.2,Debu Sen,Kishore Kumar,Asit Kumar Sen,Surekha
Do Gaz Zameen Ke Neeche,1972,127,Horror,6.1,Tulsi Ramsay,Surendra Kumar,Pooja,Imtiaz
Do Jasoos,1975,135,"Comedy, Mystery",6.1,Naresh Kumar,Raj Kapoor,Rajendra Kumar,Shailendra Singh
Do Kaliyaan,1968,160,"Drama, Family, Musical",6.5,R. Krishnan,S. Panju,Mala Sinha,Biswajit Chatterjee
Do Knot Disturb,2009,126,"Comedy, Drama",3.6,David Dhawan,Govinda,Sushmita Sen,Riteish Deshmukh
Do Lafzon Ki Kahani,2016,128,"Action, Drama, Romance",6.5,Deepak Tijori,Kajal Aggarwal,Anil George,Randeep Hooda
Do Musafir,1978,147,"Drama, Family, Romance",7.1,Devendra Goel,Shashi Kapoor,Rekha,Ashok Kumar
Do Nambar Ke Amir,1974,136,"Crime, Drama",7.2,P.D. Shenoy,Asha Sachdev,Sajid Khan,A.K. Hangal
Do Numbri,1998,139,Action,3.8,T.L.V. Prasad,Mithun Chakraborty,Sneha,Sadashiv Amrapurkar
Do Phool,1958,161,"Drama, Family",6,Abdul Rashid Kardar,Kumari Naaz,Master Romi,Vijaya Choudhury
Do Phool,1974,140,"Action, Comedy, Drama",6.7,S. Ramanathan,Ashok Kumar,Vinod Mehra,Aruna Irani
Do Premee,1980,135,"Action, Thriller",5.7,Raj Khosla,Rishi Kapoor,Moushumi Chatterjee,Om Prakash
Do Qaidi,1989,158,"Action, Thriller",4.4,Ajay Kashyap,Sanjay Dutt,Govinda,Farha Naaz
Do Raaste,1969,165,"Drama, Romance",7,Raj Khosla,Rajesh Khanna,Mumtaz,Balraj Sahni
Do Raha,1971,130,Drama,6.3,Feroz Chinoy,Anil Dhawan,Radha Saluja,Roopesh Kumar
Do Sholay,1977,145,Action,3.3,Sukhdev Ahluwalia,C.S. Aasie,Lata Arora,Billa
Do Ustad,1959,139,"Action, Crime, Drama",7.1,Tara Harish,Raj Kapoor,Madhubala,Sulochana Latkar
Do Waqt Ki Roti,1988,110,Action,6.4,Satpal,Feroz Khan,Sanjeev Kumar,Reena Roy
DOA: Death of Amar,2014,90,Thriller,7.1,Param Gill,Steven a Dsouza,Zareen Khan,Rajeev Khandelwal
Dobaara: See Your Evil,2017,106,"Horror, Mystery",3.7,Prawaal Raman,Adil Hussain,Huma Qureshi,Madalina Bellariu Ion
Dobara,2004,135,"Musical, Drama",3.2,Shashi Ranjan,Jackie Shroff,Raveena Tandon,Mahima Chaudhry
Doctor,1940,144,Drama,6.5,Phani Majumdar,Subodh Mitra,Pankaj Mullick,Ahindra Choudhury
Doli,1969,156,"Drama, Romance",7.2,Adurthi Subba Rao,Rajesh Khanna,Babita Kapoor,Prem Chopra
Doli Saja Ke Rakhna,1998,170,"Drama, Romance",6.4,Priyadarshan,Akshaye Khanna,Jyotika,Anupam Kher
Dolly Ki Doli,2015,98,"Comedy, Romance",4.5,Abhishek Dogra,Malaika Arora,Karan Ashar,Mohd. Zeeshan Ayyub
Dolly Kitty and Those Twinkling Stars,2019,126,"Comedy, Drama",5.4,Alankrita Shrivastava,Konkona Sen Sharma,Bhumi Pednekar,Amol Parashar
Dombivli Return,2019,129,"Drama, Thriller",4.9,Mahendra Teredesai,Sandeep Kulkarni,Rajeshwari Sachdev,Amol Parashar
Don,2006,171,"Action, Crime, Thriller",7.2,Farhan Akhtar,Shah Rukh Khan,Priyanka Chopra Jonas,Arjun Rampal
Don,1978,166,"Action, Crime, Thriller",7.8,Chandra Barot,Amitabh Bachchan,Zeenat Aman,Pran
Don 2,2011,148,"Action, Crime, Thriller",7.1,Farhan Akhtar,Shah Rukh Khan,Florian Lukas,Om Puri
Don Muthu Swami,2008,112,"Comedy, Drama",4.7,Ashim S. Samanta,Mithun Chakraborty,Ali Asgar,Arun Bakshi
Dongri Ka Raja,2016,139,"Action, Drama, Musical",3.9,Hadi Abrar,Ronit Roy,Ashmit Patel,Gashmeer Mahajani
Doodh Aur Apheem,2006,83,"Adventure, Drama, Music",6.7,Joel Palombo,Swaroop Khan,Nizam Khan,Mohamad Khan
Doodh Ka Karz,1990,168,"Action, Drama, Fantasy",4.6,Ashok Gaekwad,Jackie Shroff,Neelam Kothari,Prem Chopra
Door Bell,2017,99,Drama,4,Agrawal Mukesh Narayan,Shubhra Ghosh,Nataliya Kozhenova,Nishant Kumar
Door Gagan Ki Chhaon Men,1964,153,"Drama, Musical",8.2,Kishore Kumar,Kishore Kumar,Supriya Choudhury,Amit Kumar
Door Ka Raahi,1971,138,Drama,7.7,Kishore Kumar,Kishore Kumar,Ashok Kumar,Tanuja
Door Ki Awaaz,1964,135,Romance,6,Devendra Goel,Joy Mukherjee,Saira Banu,Pran
Doordarshan,2020,119,"Comedy, Drama",6.2,Gagan Puri,Manu Rishi Chadha,Mahie Gill,Dolly Ahluwalia
Doosara Aadmi,1977,137,"Drama, Family, Romance",7,Ramesh Talwar,Shashi Kapoor,Rishi Kapoor,Neetu Singh
Doosri Dulhan,1983,153,"Drama, Family",6.9,Lekh Tandon,Victor Banerjee,Sharmila Tagore,Shabana Azmi
Dor,2006,147,Drama,7.9,Nagesh Kukunoor,Ayesha Takia,Shreyas Talpade,Gul Panag
Dosh,2007,141,"Crime, Drama, Mystery",5.3,Pappu Palviendra,Sadashiv Amrapurkar,Kulbir Badesron,Pinky Chinoy
Dost,1974,164,Drama,7,Dulal Guha,Dharmendra,Hema Malini,Shatrughan Sinha
Dost,1989,162,Action,5.2,K. Muralimohana Rao,Mithun Chakraborty,Amala Akkineni,Vikas Anand
Dosti,1964,163,"Drama, Family, Musical",8.4,Satyen Bose,Sudhir Kumar,Sushil Kumar,Sanjay Khan
Dosti Dushmani,1986,152,"Action, Drama",5.7,Rama Rao Tatineni,Asrani,Bhanupriya,Poonam Dhillon
Dosti Ke Side Effects,2019,130,Drama,3.3,Hadi ali Abar,Muntazir Ahmad,Vikrant Anand,Sai Ballal
Dosti: Friends Forever,2005,136,"Drama, Romance",5.5,Suneel Darshan,Akshay Kumar,Bobby Deol,Kareena Kapoor
Double Cross: Ek Dhoka,2005,104,Comedy,4.2,Vicky Tejwani,Ayesha Jhulka,Negar Khan,Sahil Khan
Double Dhamaal,2011,138,"Comedy, Crime, Drama",3.8,Indra Kumar,Sanjay Dutt,Riteish Deshmukh,Arshad Warsi
Downup the Exit 796,2018,102,Thriller,8.2,Jaimin Bal,Rajesh Desai,Ruchika Dhankhar,Aniket Dhawalshankh
Dozakh in Search of Heaven,2015,92,Drama,7,Zaigham Imam,Garrick Chaudhary,Roobie,Lalit Mohan Tiwari
Dr. Cabbie,2014,101,Comedy,6,Jean-Fran�ois Pouliot,Vinay Virmani,Adrianne Palicki,Kunal Nayyar
Dr. Kotnis Ki Amar Kahani,1947,124,"Biography, Drama, War",6.8,Shantaram Rajaram Vankudre,Shantaram Rajaram Vankudre,Jayashree,Keshavrao Date
Dracula,1999,92,Horror,3.8,Bhooshan Lal,Priya Rao,Kiran Kumar,Mohan Joshi
Dracula 2012,2013,137,Horror,1.9,Vinayan,Thilakan,Shraddha Das,Monal Gajjar
Draupadi,1931,124,Drama,5.3,Bhagwati Prasad Mishra,Khalil,Ermeline,Jillo
Dreadlocks Story,2014,83,"Documentary, History",8.1,Linda A�nouche,Atma,David Hinds,Bill 'Blade' Howell
Dream Girl,2019,132,"Comedy, Romance",7,Raaj Shaandilyaa,Ayushmann Khurrana,Nushrat Bharucha,Annu Kapoor
Dreams... Do Come True,2009,110,"Drama, Music, Musical",6.2,Aashish Chanana,Manoj Bidwai,Aashish Chanana,Ashish Chanana
Dreamz: The Movie,2013,120,Drama,5.2,Sumana Mukherjee,Serena Lorien,Melissa Biggs,Aiden Angeli
Drishti,1990,171,Drama,7.1,Govind Nihalani,Dimple Kapadia,Shekhar Kapur,Mita Vashisht
Drishyam,2015,163,"Crime, Drama, Mystery",8.2,Nishikant Kamat,Ajay Devgn,Shriya Saran,Tabu
Drive,2019,147,"Action, Crime, Thriller",3.5,Tarun Mansukhani,Sushant Singh Rajput,Jacqueline Fernandez,Vikramjeet Virk
Droh Kaal,1994,162,"Drama, Thriller",7.6,Govind Nihalani,Om Puri,Naseeruddin Shah,Mita Vashisht
Drohi,1992,130,"Action, Crime, Romance",5.9,Gurdip Singh,Ram Gopal Varma,Nagarjuna Akkineni,Urmila Matondkar
Dudes in the 10th Century,2003,130,Comedy,4.6,Imtiaz Punjabi,Paresh Rawal,Iqbal Khan,Anuj Sawhney
Duet,1994,156,"Musical, Romance",6.5,K. Balachander,Prabhu,Ramesh Aravind,Meenakshi Sheshadri
Dulaara,2015,160,Drama,5.2,Rajkumar R. Pandey,Abhilasha,Rani Chatterjee,Mohini Ghosh
Dulari,1949,133,"Musical, Romance",6.5,Abdul Rashid Kardar,Suresh,Shyam Kumar,Madhubala
Dulha Dulhan,1964,141,"Comedy, Drama, Family",7.1,Ravindra Dave,Raj Kapoor,Sadhana,Agha
Dulha Mil Gaya,2010,152,"Comedy, Drama, Romance",4.2,Mudassar Aziz,Sushmita Sen,Fardeen Khan,Ishita Sharma
Dulhan Chahi Pakistan Se,2016,159,"Action, Drama, Family",5.1,Rajkumar R. Pandey,Pradeep Pandey,Mukesh Rishi,Subhi Sharma
Dulhan Ek Raat Ki,1967,170,"Crime, Drama, Music",6.7,D.D. Kashyap,Dharmendra,Nutan,Johnny Walker
Dulhan Hum Le Jayenge,2000,158,"Comedy, Drama, Romance",5.1,David Dhawan,Salman Khan,Karisma Kapoor,Om Puri
Dulhan Wahi Jo Piya Man Bhaaye,1977,165,"Musical, Drama, Family",7.9,Lekh Tandon,Rameshwari,Prem Krishan,Madan Puri
Dulhe Raja,1998,143,Comedy,6.6,Harmesh Malhotra,Govinda,Raveena Tandon,Kader Khan
Dum,2003,166,"Action, Crime, Drama",5.6,Eeshwar Nivas,Vivek Oberoi,Dia Mirza,Atul Kulkarni
Dum Laga Ke Haisha,2015,110,"Comedy, Drama, Romance",7.5,Sharat Katariya,Ayushmann Khurrana,Bhumi Pednekar,Sanjay Mishra
Dum Maaro Dum,2011,128,"Action, Crime, Drama",6.2,Rohan Sippy,Abhishek Bachchan,Deepika Padukone,Bipasha Basu
Duniya,1984,169,"Action, Drama",7,Ramesh Talwar,Ashok Kumar,Dilip Kumar,Rishi Kapoor
Duniya Meri Jeb Mein,1979,139,"Action, Thriller",7,Tinnu Anand,Shashi Kapoor,Rishi Kapoor,Neetu Singh
Duniya Na Mane,1937,166,Drama,6.9,Shantaram Rajaram Vankudre,Shanta Apte,Keshavrao Date,Vimala Vasishta
Dunno Y 2... Life Is a Moment,2015,95,"Drama, Romance",6.3,Tonje Gjevjon,Sanjay Sharma,Zeenat Aman,Kapil Kaustubh Sharma
Dunno Y Na Jaane Kyun...,2010,137,"Drama, Romance",3.7,Sanjay Sharma,Zeenat Aman,Kabir Bedi,Hazel Croney
Duplicate,1998,164,"Action, Comedy, Crime",5.6,Mahesh Bhatt,Shah Rukh Khan,Juhi Chawla,Sonali Bendre
Duplicate Sholay,2002,147,Comedy,6.5,Kanti Shah,Sapna Sappu,Amit Pachori,Dimple
Durdesh,1983,143,"Action, Crime, Drama",6.2,Ambrish Sangal,Shashi Kapoor,Sharmila Tagore,Parveen Babi
Durga,2002,116,Drama,4.6,J.D. Chakravarthi,J.D. Chakravarthi,Snehal Dabi,Jayaprakash
Durgamati: The Myth,2020,155,"Horror, Thriller",3.8,Ashok G.,Bhumi Pednekar,Mahie Gill,Arshad Warsi
Dus Kahaniyaan,2007,110,Drama,5.7,Meghna Gulzar,Sanjay Gupta,Apoorva Lakhia,Hansal Mehta
Dus Lakh,1966,162,"Comedy, Drama, Musical",6.6,Devendra Goel,Om Prakash,Sanjay Khan,Babita Kapoor
Dus Numbri,1976,155,"Action, Comedy, Drama",5.6,Madan Mohla,Manoj Kumar,Hema Malini,Prem Nath
Dus Tola,2010,120,"Comedy, Drama",6.9,Ajoy Varma,Manoj Bajpayee,Aarti Chhabria,Pallavi Sharda
Dushman,1998,145,"Crime, Drama, Thriller",6.9,Tanuja Chandra,Kajol,Sanjay Dutt,Ashutosh Rana
Dushman,1990,146,"Action, Drama",5.4,Shakti Samanta,Mithun Chakraborty,Mandakini,Sadashiv Amrapurkar
Dushman,1957,138,Drama,7.1,Raj Rishi,Dev Anand,Usha Kiran,Prabhu Dayal
Dushman Duniya Ka,1996,153,Drama,4,Mehmood,Tabrez Hashmi,Laila,Mehmood
Dushman Zamana,1992,129,"Action, Romance",5,Jagdish A. Sharma,Arman Kohli,Divya Bharti,Gulshan Grover
Dushmani: A Violent Love Story,1995,156,"Action, Drama, Romance",4.9,Sanjay Khanna,Karan Razdan,Bunty Soorma,Sunny Deol
Dushmun,1971,177,Drama,7.1,Dulal Guha,Meena Kumari,Rajesh Khanna,Mumtaz
Duvidha,1973,82,"Drama, Fantasy, Romance",7,Mani Kaul,Hardan,Manohar Lalas,Ravi Menon
Dvandva,2009,51,"Crime, Drama, Mystery",6.1,Chhatrapal Ninawe,Satyakam Anand,Charudatta Bhagwat,Chetan Dhanani
Earth,1998,110,"Drama, Romance, War",7.7,Deepa Mehta,Aamir Khan,Nandita Das,Rahul Khanna
Ebn-e-Batuta,2014,125,Sci-Fi,4.3,Varun Middha,Omkar Das Manikpuri,Rajeev Verma,Dev Gohar
Edegarike,2012,105,"Crime, Drama",7.4,D. Sumana Kittur,Aditya,Atul Kulkarni,Akanksha
Eduruleni Manishi,2001,138,"Comedy, Drama",4.5,Srinivasa Rao Jonnalagadda,J. Sreeniwas Rao,Nagarjuna Akkineni,Soundarya
Eeb Allay Ooo!,2019,98,"Comedy, Drama",7.4,Prateek Vats,Shardul Bharadwaj,Mahender Nath,Nutan Sinha
Eena Meena Deeka,1994,133,"Action, Comedy, Crime",4.7,David Dhawan,Vinod Khanna,Rishi Kapoor,Juhi Chawla
Eeshwar,1989,147,"Drama, Musical, Family",7.2,K. Viswanath,Rajesh Malik,Anil Kapoor,Vijayshanti
Ehsaas: The Feeling,2001,116,"Drama, Romance",5.6,Mahesh Manjrekar,Sunil Shetty,Shabana Raza,Kirron Kher
Eiga Doraemon: Nobita no getsumen tansaki,2019,111,"Animation, Action, Adventure",6.8,Jeong-beom Lee,Shinnosuke Yakuwa,Wasabi Mizuta,Sang Hyun Uhm
Eight Days,1946,141,"Comedy, Drama",6.5,D.N. Pai,Ashok Kumar,Ashok Kumar,Veera
Ek Aasha,2018,123,Drama,7.8,Mayur Katariya,Disha Yadav,Annu Akade,Vijya Laxmi
Ek Adhuri Kahani,1972,115,Drama,7.7,Mrinal Sen,Utpal Dutt,Shekhar Chatterjee,Vivek Chatterjee
Ek Ajnabee,2005,142,"Action, Crime, Drama",5.2,Apoorva Lakhia,Amitabh Bachchan,Arjun Rampal,Perizaad Zorabian
Ek Ajooba,2000,71,Family,5.7,Sunil Advani,Meghna Erande,Harsh Lunia,Amrish Puri
Ek Alag Mausam,2003,120,Drama,6.7,K.P. Sasi,Nandita Das,Rajit Kapoor,Anupam Kher
Ek Aur Ek Gyarah,1981,153,"Action, Thriller",6.3,Ashok Roy,Shashi Kapoor,Vinod Khanna,Neetu Singh
Ek Aur Sikander,1986,139,"Action, Drama",6.6,Bhaskar Shetty,Mithun Chakraborty,Anita Raj,Rakesh Roshan
Ek Baap Chhe Bete,1978,132,"Comedy, Drama",5.5,Mehmood,Mehmood,Moushumi Chatterjee,Tracy Ali
Ek Baar Chale Aao,1983,137,Drama,6.7,Jagdish Sidana,Asrani,Bharat Bhushan,Jankidas
Ek Baar Kaho,1980,142,"Drama, Family, Romance",7,Lekh Tandon,Navin Nischol,Shabana Azmi,Dilip Dhawan
Ek Baar Phir (Once Again),1980,147,Drama,6.3,Vinod Pande,Suresh Oberoi,Deepti Naval,Pradeep Verma
Ek Battey Do,2020,100,Drama,8.5,Suzad Iqbal Khan,Abinash,Monika Chowdhury,Chandra Shekhar Dutta
Ek Bechara,1972,109,"Action, Drama",4.7,S.M. Abbas,Jeetendra,Rekha,Vinod Khanna
Ek Chadar Maili Si,1986,133,Drama,7.1,Sukhwant Dhadda,Hema Malini,Rishi Kapoor,Poonam Dhillon
Ek Chalis Ki Last Local,2007,143,"Adventure, Comedy, Crime",7.3,Sanjay M. Khanduri,Abhay Deol,Neha Dhupia,Amit Mistry
Ek Chhotisi Love Story,2002,122,Drama,2.9,Shashilal K. Nair,Saroj Bhargava,Manisha Koirala,Jesse Randhawa
Ek Chitthi Pyar Bhari,1985,139,Drama,6.6,Vijay Sadanah,Raj Babbar,Reena Roy,Agha
Ek Daku Saher Mein,1985,133,Action,3.8,Kalidas,Ashok Kumar,Pradeep Kumar,Suresh Oberoi
Ek Dil Sau Afsane,1963,146,"Comedy, Drama, Romance",6.4,R.C. Talwar,Raj Kapoor,Waheeda Rehman,Lalita Pawar
Ek Din 24 Ghante,2003,95,Thriller,3.9,Anant Balani,Rahul Bose,Ahmed Chaudhary,Nandita Das
Ek Din Achanak,1989,105,Drama,7.1,Mrinal Sen,Shabana Azmi,Shreeram Lagoo,Aparna Sen
Ek Doctor Ki Maut,1990,122,"Biography, Drama",8.3,Tapan Sinha,Shabana Azmi,Pankaj Kapur,Irrfan Khan
Ek Duuje Ke Liye,1981,167,"Drama, Musical, Romance",7.5,K. Balachander,Kamal Haasan,Rati Agnihotri,Madhavi
Ek Gaon Ki Kahani,1957,137,Drama,6.4,Dulal Guha,Talat Mahmood,Mala Sinha,I.S. Johar
Ek Ghar,1991,100,Drama,7.2,Girish Kasaravalli,Naseeruddin Shah,Deepti Naval,Chanda
Ek Haseena Thi Ek Deewana Tha,2017,105,Drama,2.5,Suneel Darshan,Shiv Darshan,Natasha Fernandez,Upen Patel
Ek Hasina Do Diwane,1972,140,"Comedy, Drama, Romance",5.4,S.M. Abbas,Jeetendra,Babita Kapoor,Johnny Walker
Ek Hasina Thi,2004,120,"Crime, Drama, Mystery",7.5,Sriram Raghavan,Saif Ali Khan,Urmila Matondkar,Seema Biswas
Ek Hi Bhool,1981,144,"Drama, Family, Romance",5.8,Rama Rao Tatineni,Jeetendra,Rekha,Nazneen
Ek Hi Raasta,1993,130,Action,3.4,Deepak Bahry,Ajay Devgn,Raveena Tandon,Saeed Jaffrey
Ek Hota Vidushak,1992,145,"Comedy, Drama",7,Jabbar Patel,Mohan Agashe,Satish Alekar,Laxmikant Berde
Ek Jaan Hain Hum,1983,151,"Family, Romance",6.5,Rajiv Mehra,Rakesh Bedi,Avtar Gill,Gulshan Grover
Ek Kali Muskai,1968,120,"Drama, Family, Romance",6.3,Vasant Joglekar,Ashok Kumar,Joy Mukherjee,Meera
Ek Khiladi Ek Haseena,2005,143,"Comedy, Crime, Thriller",5.7,Suparn Varma,Fardeen Khan,Koena Mitra,Kay Kay Menon
Ek Krantiveer: Vasudev Balwant Phadke,2007,126,"Action, History",6.5,Gajendra Ahire,Amitabh Bachchan,Ajinkya Deo,Ramesh Deo
Ek Ladka Ek Ladki,1992,162,"Comedy, Romance",5.7,Vijay Sadanah,Salman Khan,Neelam Kothari,Anupam Kher
Ek Ladki Ko Dekha Toh Aisa Laga,2019,120,"Comedy, Drama, Romance",5.5,Shelly Chopra Dhar,Sonam Kapoor,Anil Kapoor,Rajkummar Rao
Ek Main Aur Ek Tu,1986,138,Romance,6.9,Ravi Tandon,Shashi Kapoor,Rubina,Tanuja
